Phylum,019291-B16SV4,019283-B16SV4,019275-B16SV4,019267-B16SV4,019259-B16SV4,019232-B16SV4,006165-B16SV4,006157-B16SV4,006122-B16SV4,006114-B16SV4,006092-B16SV4,006084-B16SV4,006076-B16SV4,006033-B16SV4,006025-B16SV4,006017-B16SV4,006009-B16SV4,005991-B16SV4,005975-B16SV4,005967-B16SV4,005959-B16SV4,005932-B16SV4,005924-B16SV4,005908-B16SV4,005894-B16SV4,005878-B16SV4,005860-B16SV4,005843-B16SV4,005827-B16SV4,005835-B16SV4,005819-B16SV4,005797-B16SV4,005789-B16SV4,005762-B16SV4,005771-B16SV4,005754-B16SV4,005738-B16SV4,005720-B16SV4,005711-B16SV4,005690-B16SV4,005703-B16SV4,005681-B16SV4,005673-B16SV4,005665-B16SV4,005649-B16SV4,005509-B16SV4,005495-B16SV4,005479-B16SV4,005444-B16SV4,005452-B16SV4,005428-B16SV4,005410-B16SV4,005363-B16SV4,005347-B16SV4,005355-B16SV4,005339-B16SV4,005321-B16SV4,005304-B16SV4,005291-B16SV4,005240-B16SV4,005231-B16SV4,005215-B16SV4,005223-B16SV4,005207-B16SV4,005193-B16SV4,004961-B16SV4,004944-B16SV4,004928-B16SV4,004910-B16SV4,004901-B16SV4,004898-B16SV4,004707-B16SV4,004693-B16SV4,004685-B16SV4,004669-B16SV4,004651-B16SV4,004545-B16SV4,004511-B16SV4,004529-B16SV4,004502-B16SV4,004499-B16SV4,004472-B16SV4,004464-B16SV4,004448-B16SV4,004456-B16SV4,004430-B16SV4,004413-B16SV4,004405-B16SV4,004391-B16SV4,004367-B16SV4,004375-B16SV4,004359-B16SV4,004332-B16SV4,004341-B16SV4,004227-B16SV4,004219-B16SV4,004201-B16SV4,004197-B16SV4,004057-B16SV4,004049-B16SV4
Cyanobacteria,34,61,12848,8493,57,5085,22733,26753,6881,17730,1881,15144,22713,22195,11102,4394,1152,15519,28984,4234,25121,41507,2340,18289,25,25646,5770,6734,19268,5424,1471,16365,4085,36789,11957,20165,532,8407,96,963,43890,16765,702,8379,2098,10203,4166,10013,33242,729,4973,1176,3551,42945,48849,3046,183,34,123,29,82,25528,19937,22872,1956,3441,25670,28998,9177,1696,9541,43227,19988,2838,10866,5979,80,22386,29754,6288,8293,193,19228,41716,14949,36447,78,24528,24981,40069,1353,56027,14493,3442,43052,24502,69,11279,43,160
Proteobacteria,43,39,1653,479,26,267,1766,2113,595,1558,113,1023,1574,1135,1220,15472,106,1926,1747,444,4330,6779,178,1568,66,3767,354,414,909,403,110,1587,190,5176,1302,1296,82,523,89,148,5642,2301,66,506,212,1221,503,585,8961,60,487,3575,362,7338,8473,23180,51,113,47,34,34,2806,2025,2039,175,250,2337,4108,929,151,666,5802,3402,292,984,502,35,5350,3488,470,567,40,2327,7968,889,4131,30,2283,2253,5406,107,8048,1023,352,7897,1986,24,861,49,67
Firmicutes,11,1,101,26,1,5,112,128,67,90,6,64,92,60,57,2849,29,96,70,29,229,383,10,88,3,395,11,22,31,14,1,100,3,334,89,68,4,24,3,7,302,139,3,26,287,74,38,28,554,6,20,551,62171,519,508,24515,1,0,13,11,2,166,106,107,10,13,126,209,44,10,31,353,238,81,46,26,18,337,221,17,38,7,133,468,58,219,1,118,149,319,5,429,63,16,316,123,13,42,0,1
Tenericutes,1,0,46,44,0,14,75,119,29,77,2,69,57,70,50,28,7,61,102,17,88,177,7,76,0,87,15,26,60,18,9,66,18,142,45,76,3,29,0,4,166,58,4,29,11,42,9,33,130,5,16,7,291,172,196,53,0,1,2,0,0,91,83,97,7,10,101,111,43,5,31,159,90,16,36,18,0,91,114,17,35,2,72,148,67,138,0,81,76,159,6,202,68,17,181,115,0,30,2,1
DNA,17,14,14,14,14,14,9,11,26,7,21,14,14,7,11,17,25,28,7,11,5,14,28,2,44,27,26,34,7,55,20,13,28,14,16,10,38,18,29,56,26,16,17,20,38,5,4,15,15,21,23,19,3,5,6,5,18,14,25,17,11,9,10,3,29,11,25,13,21,36,24,6,6,44,23,25,20,14,6,11,24,12,16,9,15,3,13,16,14,8,12,7,23,45,5,17,17,15,21,27
Actinobacteria,0,0,4,4,0,1,2,9,4,5,3,4,5,8,3,63,0,24,4,4,16,10,0,1,0,7,2,3,1,0,0,4,0,8,0,2,0,4,1,0,7,5,0,1,1,6,0,5,33,0,2,15,20,14,13,83,0,0,0,0,0,12,6,5,0,1,6,13,2,1,4,14,4,0,2,1,0,7,3,1,4,0,3,35,2,42,1,6,18,9,2,17,4,2,25,6,0,2,0,0
Chloroflexi,0,0,2,2,0,3,5,7,2,7,1,4,6,3,2,4,0,5,14,3,15,16,1,10,0,14,0,0,8,1,2,9,0,7,5,8,2,3,0,0,13,8,1,4,1,4,1,3,14,0,1,0,5,11,23,9,0,0,0,0,0,9,1,6,1,2,9,15,7,1,3,16,10,2,3,3,0,8,11,2,2,0,7,18,6,23,0,7,12,11,0,14,3,0,12,7,0,6,0,0
Bacteroidetes,0,0,0,0,0,0,0,5,3,1,0,0,1,2,0,3,0,23,1,0,2,3,0,0,0,3,3,2,0,0,0,2,1,6,1,1,0,2,0,1,4,3,0,0,0,6,1,12,170,0,0,0,0,1,1,0,0,0,0,0,2,5,2,0,0,0,1,3,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,37,2,69,1,0,16,2,3,7,5,0,74,1,2,0,0,0
Verrucomicrobia,0,0,0,0,0,0,2,2,0,3,0,3,2,2,2,1,0,2,2,0,13,6,0,2,0,6,0,0,2,1,0,2,0,9,2,3,0,2,0,0,4,1,0,0,0,5,2,5,4,0,0,0,2,10,14,2,0,0,0,0,0,4,3,2,0,0,5,6,0,0,2,4,4,0,0,0,0,8,3,1,0,0,2,22,0,15,0,6,3,2,1,9,0,0,3,2,0,3,0,0
Fusobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,6,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,20,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
Planctomycetes,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4,1,0,0,0,0,0,4,3,1,1,0,0,0,1,1,0,0,0,1,4,2,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,2,1,0,1,0,0,1,2,0,0,0,2,8,0,5,0,0,0,2,0,0,1,1,0,1,0,0,0,0
Crenarchaeota,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,1,2,0,1,0,0,1,0,0,2,0,0,1,0,2,0,0,1,0,3,1,0,0,0,0,0,0,1,2,2,0,0,1,1,1,0,1,3,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,4,0,4,1,0,2,2,0,1,0,0
Acidobacteria,0,0,0,2,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0
Thermi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,2,0,0,0,0,0
Caldithrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmatimonadetes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlamydiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermotogae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Euryarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Synergistetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nitrospirae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Deferribacteres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spirochaetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
